,subject,session,scan,bias_max,bias_med,bias_min,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,qi1,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
30,sub-313,ses-BL,T1w,1.56705951691,0.447032749653,0.28083139658,1.72527956963,0.383984672253,22.3623466492,3.06442,2.94279,3.46778,2.81991,0.18506393339,0.419554878992,0.395381187618,0.673794272796,79082.7890625,146533.625,60505.53125,256,182,256,2.56774163246,1.30086946487,2.33853816986,4.06381750107,0.879999995232,1.19999992847,0.879999995232,619.47833252,195.001495361,348.913848877,745.554931641,234.645050049,80.7794418335,55.3917713165,190.716567993,1053.97937012,326.964416504,634.695617676,1103.98571777,266.470794678,112.937820435,179.760467529,292.968170166
31,sub-130,ses-FU,T1w,1.82260155678,0.478414952755,0.224034816027,1.12256813049,0.478705018469,138.203842163,2.14508,2.14827,2.24605,2.0456,0.152213232669,0.383828492279,0.463958275051,0.385302973278,100641.882812,158245.546875,153254.921875,170,256,256,2.84269714355,1.96553099155,2.71999645233,3.84256458282,1.0,1.0,1.0,751.644287109,349.670257568,420.693023682,707.89465332,309.675231934,75.8387756348,55.8680992126,100.107566833,1245.02075195,1030.14331055,796.307678223,1251.34069824,290.84765625,327.869384766,225.549713135,352.075164795
32,sub-213,ses-FU,T1w,2.19944000244,0.675889134407,0.307625025511,1.45402240753,0.422961792016,359.157440186,2.13087,2.14279,2.21291,2.04045,0.17707141489,0.377403288483,0.445525296627,0.429925568469,94169.640625,165981.5,168472.921875,256,256,170,3.71058392525,2.39552664757,3.64110159874,5.09512376785,1.0,1.0,1.0,960.910583496,427.870758057,548.429992676,904.720703125,344.798065186,92.3738021851,82.7515384674,142.890930176,1627.76757812,1290.98803711,1058.44934082,1635.78613281,402.08493042,432.539581299,297.085357666,459.703979492
33,sub-121,ses-BL,T1w,1.25869274139,0.396145522594,0.231866911054,1.63489866257,0.384373564147,35.4866409302,3.1182,3.0363,3.50057,2.8525,0.161203044111,0.408112524566,0.430684431323,0.513189878239,85944.875,138412.5,63087.8671875,256,182,256,2.63851046562,1.44885408878,2.41588950157,4.05078792572,0.880000054836,1.20000016689,0.879999995232,581.352905273,188.356063843,327.333221436,675.984069824,226.845993042,72.0146026611,49.1500701904,172.403106689,957.794189453,320.46496582,597.721191406,997.40222168,243.801803589,133.514694214,171.210494995,266.43951416
34,sub-117,ses-BL,T1w,0.982740938663,0.387530684471,0.16992020607,1.80224716663,0.420978443214,16.5402832031,3.13068,3.04293,3.59929,2.80161,0.157165669365,0.399079111825,0.44375521881,0.868323779933,92890.9453125,147400.78125,67659.953125,256,182,256,2.86074447632,1.51854205132,2.63072180748,4.43296909332,0.879999995232,1.20000004768,0.879999995232,597.261230469,185.035446167,331.902038574,694.905822754,214.042236328,69.6775894165,44.1292419434,172.827896118,1011.00799561,314.232208252,628.464416504,1051.99475098,254.725540161,137.138412476,176.729187012,273.834197998
35,sub-209,ses-FU,T1w,1.29682898521,0.402300715446,0.178257510066,0.905681073666,0.493137038463,214.930419922,2.24589,2.22085,2.36964,2.15261,0.173209950938,0.374496123255,0.452293925807,0.436308372479,90989.3984375,156510.640625,173878.890625,170,256,256,2.73507404327,1.82783436775,2.73585343361,3.64153432846,1.0,1.0,1.0,811.004455566,372.945922852,471.17980957,733.952087402,317.453704834,94.5606842041,74.567855072,105.367980957,1323.84960938,1040.16674805,898.326477051,1310.34094238,303.302520752,299.900054932,250.263687134,364.353912354
36,sub-132,ses-BL,T1w,1.158872962,0.430462539196,0.234710127115,1.87968087196,0.410949474832,49.1635017395,3.12342,2.99575,3.60299,2.82307,0.170102227834,0.41328263884,0.416615133326,0.719620919621,100483.0625,170961.828125,75508.234375,256,182,256,2.71209716797,1.38688981533,2.43486046791,4.31454133987,0.879999995232,1.20000004768,0.879999935627,478.691558838,146.454086304,264.922302246,573.722045898,171.769012451,57.209602356,40.3832435608,137.765930176,827.295654297,245.384307861,490.768615723,865.856018066,214.757827759,110.853797913,137.277923584,231.522109985
37,sub-128,ses-BL,T1w,1.32809460163,0.446139186621,0.246954098344,1.4088152647,0.416814644857,19.1495666504,3.03641,2.93793,3.49128,2.72932,0.162890555093,0.414184335012,0.422925109895,0.808908620363,95388.015625,149310.171875,68925.640625,256,182,256,2.26807332039,1.24400770664,2.0756983757,3.48451352119,0.879999935627,1.20000004768,0.880000054836,551.652099609,178.862121582,310.742797852,640.928894043,219.186172485,69.8795394897,43.4658508301,159.374526978,913.894897461,297.201599121,560.968017578,954.760131836,228.609359741,130.182922363,160.011291504,253.903533936
38,sub-128,ses-FU,T1w,2.45277833939,0.674431204796,0.30820915103,0.886371195316,0.466888324277,254.021255493,2.07362,2.05171,2.16015,2.01181,0.163657292789,0.403992132111,0.4323505751,0.530116038731,85053.65625,155829.140625,178869.234375,170,256,256,2.93794059753,2.0655310154,2.93095993996,3.81733107567,1.0,0.999999940395,1.0,760.729370117,374.572692871,447.00289917,649.063537598,325.446899414,76.2137451172,71.9535293579,71.0071105957,1236.69824219,1047.34729004,852.019470215,1207.11218262,284.562927246,330.703063965,237.057006836,343.274902344
39,sub-202,ses-FU,T1w,1.32499670982,0.439759790897,0.228079512715,1.30382335186,0.41574170701,341.401275635,2.14704,2.162,2.22132,2.06088,0.146157888252,0.396210477293,0.457631634455,0.378623112635,80006.859375,128667.203125,114258.375,170,256,256,3.14111876488,2.05739760399,3.03106784821,4.33489084244,1.0,1.0,1.0,885.426269531,387.643218994,511.470031738,858.374023438,350.869842529,83.3315811157,68.0149536133,143.384552002,1423.72192383,1207.80200195,917.659606934,1443.96435547,333.935455322,387.206481934,260.603668213,409.055541992
